spdiversity,fndiv,Substrate,vial,tube,time,dC_dt
1,1,Spruce,,,6.62,0.46
1,1,Spruce,,,6.63,0.60
1,1,Spruce,,,6.64,57.80
1,1,Spruce,,,6.64,0.70
1,1,Spruce,,,6.65,0.44
1,1,Spruce,,,6.66,0.60
1,1,Spruce,,,6.66,0.51
1,1,Spruce,,,6.67,57.76
1,1,Spruce,,,6.68,0.54
1,1,Spruce,,,6.74,0.76
1,1,Spruce,,,6.54,16.25
1,1,Spruce,,,6.55,0.41
1,1,Spruce,,,6.55,0.36
1,1,Spruce,,,6.57,0.82
1,1,Spruce,,,6.58,0.64
1,1,Spruce,,,6.60,0.80
1,1,Spruce,,,6.63,0.95
1,1,Spruce,,,6.65,1.61
2,1,Spruce,,,6.66,79.56
2,1,Spruce,,,6.69,68.71
2,1,Spruce,,,6.70,72.44
2,1,Spruce,,,6.71,0.68
2,1,Spruce,,,6.79,0.40
2,1,Spruce,,,6.81,0.54
2,1,Spruce,,,6.82,0.41
2,1,Spruce,,,6.83,0.63
2,1,Spruce,,,6.84,9.27
2,1,Spruce,,,6.85,0.66
2,1,Spruce,,,6.87,1.64
2,1,Spruce,,,6.88,23.82
2,1,Spruce,,,6.89,0.62
2,1,Spruce,,,6.91,0.56
2,1,Spruce,,,6.92,0.46
2,1,Spruce,,,6.99,0.44
2,1,Spruce,,,6.54,0.67
2,1,Spruce,,,6.55,0.40
2,1,Spruce,,,6.55,0.35
2,1,Spruce,,,6.57,0.78
2,1,Spruce,,,6.59,0.56
2,1,Spruce,,,6.60,0.51
2,1,Spruce,,,6.64,0.85
2,1,Spruce,,,6.65,0.71
4,1,Spruce,,,6.66,81.36
4,1,Spruce,,,6.69,8.21
4,1,Spruce,,,6.70,4.46
4,1,Spruce,,,6.74,0.58
4,1,Spruce,,,6.79,0.56
4,1,Spruce,,,6.81,44.64
4,1,Spruce,,,6.82,1.84
4,1,Spruce,,,6.83,0.47
2,2,Spruce,,,6.85,81.95
2,2,Spruce,,,6.86,45.16
2,2,Spruce,,,6.87,0.04
2,2,Spruce,,,6.88,12.15
2,2,Spruce,,,6.89,74.82
2,2,Spruce,,,6.91,0.48
2,2,Spruce,,,6.92,0.49
2,2,Spruce,,,6.99,44.89
2,2,Spruce,,,6.54,76.86
2,2,Spruce,,,6.55,0.35
2,2,Spruce,,,6.55,0.36
2,2,Spruce,,,6.58,0.78
2,2,Spruce,,,6.59,0.57
2,2,Spruce,,,6.60,24.40
2,2,Spruce,,,6.64,0.99
2,2,Spruce,,,6.65,11.63
2,2,Spruce,,,6.66,2.24
2,2,Spruce,,,6.69,20.16
2,2,Spruce,,,6.70,0.40
2,2,Spruce,,,6.74,7.25
2,2,Spruce,,,6.80,0.58
2,2,Spruce,,,6.81,0.99
2,2,Spruce,,,6.82,0.38
2,2,Spruce,,,6.84,0.77
4,2,Spruce,,,6.85,74.70
4,2,Spruce,,,6.86,84.93
4,2,Spruce,,,6.87,43.73
4,2,Spruce,,,6.88,34.65
4,2,Spruce,,,6.89,18.67
4,2,Spruce,,,6.91,1.88
4,2,Spruce,,,6.98,83.70
4,2,Spruce,,,6.99,0.46
4,2,Spruce,,,6.54,77.81
4,2,Spruce,,,6.55,0.37
4,2,Spruce,,,6.56,0.43
4,2,Spruce,,,6.58,0.74
4,2,Spruce,,,6.59,71.23
4,2,Spruce,,,6.60,62.15
4,2,Spruce,,,6.64,85.62
4,2,Spruce,,,6.65,0.86
4,2,Spruce,,,6.66,0.68
4,2,Spruce,,,6.69,0.55
4,2,Spruce,,,6.70,0.39
4,2,Spruce,,,6.74,0.54
4,2,Spruce,,,6.80,2.27
4,2,Spruce,,,6.81,17.58
4,2,Spruce,,,6.82,4.86
4,2,Spruce,,,6.84,0.88
4,2,Spruce,,,6.85,0.68
4,2,Spruce,,,6.86,0.64
4,2,Spruce,,,6.88,1.14
4,2,Spruce,,,6.89,13.76
4,2,Spruce,,,6.90,12.24
4,2,Spruce,,,6.91,11.88
4,2,Spruce,,,6.98,0.84
